model_name,step,max_model_len,tb21_pass@1,tb21_pass@5,tb21_pass1_adj,tb21_err_rate,tb21_beaker_url,tblite_pass@1,tblite_pass@5,tblite_pass1_adj,tblite_err_rate,tblite_beaker_url,train_grp_perf_w5,train_kl2,train_seq_len,wandb_url,train_beaker_url,workspace
sft-tmax-qwen35-9b-big-2ep,,32768,0.1371,0.2472,0.1422,0.070,https://beaker.org/ex/01KYJH6QFV9SN7DJBN2BR8YY5R,0.2840,0.5000,0.2910,0.064,https://beaker.org/ex/01KYJQ1H35QSZ7WFJARMXJ8YT2,,,12611,https://wandb.ai/ai2-llm/oe-general-agents/of6i30vx,https://beaker.org/ex/01KY6QQ75GWW4PTHQB4Z048V1S,ai2/oe-agents
allenai/tmax-2b,,65536,0.0337,,,0.099,https://beaker.org/ex/01KWZPFWPZ1TWXK8Y8P2HJJC4N,0.1620,0.2700,0.1670,0.132,https://beaker.org/ex/01KX28NWKREXFP6C4CAFJNFBBQ,,,,,,ai2/general-tool-use
allenai/tmax-4b,,65536,0.1865,0.2809,0.1962,0.099,https://beaker.org/ex/01KWZNRAYA38F5P6PDS709PMXJ,0.4480,0.6400,0.4628,0.134,https://beaker.org/ex/01KX28P0Z8C9R060VJ1QZYM14B,,,,,,ai2/general-tool-use
allenai/tmax-9b,,65536,0.2764,0.4382,0.3146,0.191,https://beaker.org/ex/01KWZPG2WKYH7KJBNSJR5MQWG1,0.5340,0.7300,0.5609,0.112,https://beaker.org/ex/01KX28P4W0JXC9VA2GVZSE3RJ0,,,,,,ai2/general-tool-use
swerl-qwen35-9b-dppo-4n64k,120,65536,0.2292,0.3596,0.2642,0.175,https://beaker.org/ex/01KXH18R73AXTC7NHDCQ3Q94T8,0.5240,0.7600,0.5413,0.074,https://beaker.org/ex/01KYJQ0R6MED63VZ1Y51PNQ1C3,0.6087,0.0456,13695,https://wandb.ai/ai2-llm/oe-general-agents/ut64ii7s,https://beaker.org/ex/01KXD0MKSJ3STAX6CJQT6YRAEC,ai2/oe-agents
swerl-qwen35-9b-dppo-4n64k,140,65536,0.2404,0.3933,0.2800,0.178,https://beaker.org/ex/01KXH18X19ZD9B36KE1NNDTWVS,,,,,,0.5819,0.0693,17566,https://wandb.ai/ai2-llm/oe-general-agents/ut64ii7s,https://beaker.org/ex/01KXD0MKSJ3STAX6CJQT6YRAEC,ai2/oe-agents
swerl-qwen35-9b-dppo-4n64k,160,65536,0.2472,0.4270,0.2926,0.218,https://beaker.org/ex/01KXKWB75GHZ8JFW0Q81D8QBEN,,,,,,0.6692,0.0608,25358,https://wandb.ai/ai2-llm/oe-general-agents/ut64ii7s,https://beaker.org/ex/01KXD0MKSJ3STAX6CJQT6YRAEC,ai2/oe-agents
swerl-qwen35-9b-dppo-4n64k,180,65536,0.2584,0.4270,0.3002,0.184,https://beaker.org/ex/01KXKWBCD2HDJKQ6VW38J3HW8C,,,,,,0.6295,0.0514,25750,https://wandb.ai/ai2-llm/oe-general-agents/ut64ii7s,https://beaker.org/ex/01KXD0MKSJ3STAX6CJQT6YRAEC,ai2/oe-agents
swerl-qwen35-9b-dppo-4n64k,200,65536,0.2449,0.4157,0.2922,0.211,https://beaker.org/ex/01KXQGRG82KFAKC31BSDJ5ERCZ,,,,,,0.5643,0.0691,28325,https://wandb.ai/ai2-llm/oe-general-agents/ut64ii7s,https://beaker.org/ex/01KXD0MKSJ3STAX6CJQT6YRAEC,ai2/oe-agents
swerl-qwen35-9b-dppo-4n64k,240,65536,0.2494,0.3933,0.2960,0.231,https://beaker.org/ex/01KXQGRNP4MFS79ETX4AXAF729,0.5740,0.7900,0.5992,0.104,https://beaker.org/ex/01KYJQ0VQDQ96ZFB9TWX1SD349,0.5975,0.0742,31450,https://wandb.ai/ai2-llm/oe-general-agents/ut64ii7s,https://beaker.org/ex/01KXD0MKSJ3STAX6CJQT6YRAEC,ai2/oe-agents
swerl-qwen35-9b-dppo-4n64k,280,65536,0.2517,0.4270,0.2872,0.155,https://beaker.org/ex/01KXKWBH98RZGQMPDQ8GKQK1H8,,,,,,0.6368,0.1060,41645,https://wandb.ai/ai2-llm/oe-general-agents/ut64ii7s,https://beaker.org/ex/01KXD0MKSJ3STAX6CJQT6YRAEC,ai2/oe-agents
swerl-qwen35-9b-dppo-4n64k,300,65536,0.2719,0.4494,0.3002,0.139,https://beaker.org/ex/01KXQGRTEXB5KY64JVNMW4CS3W,,,,,,0.6566,0.0940,26205,https://wandb.ai/ai2-llm/oe-general-agents/gyw0z542,https://beaker.org/ex/01KXKJSQMC36KCT26YTMGK90DD,ai2/oe-agents
swerl-qwen35-9b-dppo-4n64k,320,65536,0.2517,0.3708,0.2719,0.115,https://beaker.org/ex/01KXQGRYT7QEXR96XNXGW8YWR9,,,,,,0.6066,0.1266,28682,https://wandb.ai/ai2-llm/oe-general-agents/gyw0z542,https://beaker.org/ex/01KXKJSQMC36KCT26YTMGK90DD,ai2/oe-agents
swerl-qwen35-9b-dppo-4n64k,340,65536,0.2809,0.4045,0.3034,0.126,https://beaker.org/ex/01KXQGS33XFS041681DM4VEBP0,,,,,,0.6715,0.1687,44417,https://wandb.ai/ai2-llm/oe-general-agents/gyw0z542,https://beaker.org/ex/01KXKJSQMC36KCT26YTMGK90DD,ai2/oe-agents
swerl-qwen35-9b-dppo-4n64k,360,65536,0.3011,0.4157,0.3276,0.130,https://beaker.org/ex/01KXRY5WSTQ2EE5TWZEHMT6086,0.5820,0.7900,0.6062,0.088,https://beaker.org/ex/01KYJQ0Z9RK57V56TG766ZKWT3,0.6517,0.1718,32339,https://wandb.ai/ai2-llm/oe-general-agents/gyw0z542,https://beaker.org/ex/01KXKJSQMC36KCT26YTMGK90DD,ai2/oe-agents
swerl-qwen35-9b-dppo-4n64k,380,65536,0.2449,0.4045,0.2875,0.189,https://beaker.org/ex/01KY8C50BPWTPY4KGB04BMSMJH,,,,,,0.6675,0.1505,29720,https://wandb.ai/ai2-llm/oe-general-agents/be3l7oy4,https://beaker.org/ex/01KY3HSGXM590X5J8BM8EJHJ0X,ai2/oe-agents
swerl-qwen35-9b-dppo-4n64k,400,65536,0.2270,0.4045,0.2651,0.178,https://beaker.org/ex/01KY8C544JK88AKH9SS7S5TC3C,,,,,,0.6088,0.1279,26003,https://wandb.ai/ai2-llm/oe-general-agents/be3l7oy4,https://beaker.org/ex/01KY3HSGXM590X5J8BM8EJHJ0X,ai2/oe-agents
swerl-qwen35-9b-dppo-4n64k,420,65536,0.2270,0.3596,0.2637,0.171,https://beaker.org/ex/01KY8C57R5EWBAC83B5XYRPCHV,,,,,,0.6759,0.1725,31809,https://wandb.ai/ai2-llm/oe-general-agents/be3l7oy4,https://beaker.org/ex/01KY3HSGXM590X5J8BM8EJHJ0X,ai2/oe-agents
swerl-qwen35-9b-dppo-4n64k,440,65536,0.2337,0.3708,0.2773,0.193,https://beaker.org/ex/01KY8C5BAZJZJ5HFDJY4QFBZ5T,0.6000,0.7800,0.6160,0.068,https://beaker.org/ex/01KYJQ12ZEMRM09ZYGMJD72HVD,0.6271,0.1547,31819,https://wandb.ai/ai2-llm/oe-general-agents/be3l7oy4,https://beaker.org/ex/01KY3HSGXM590X5J8BM8EJHJ0X,ai2/oe-agents
swerl-qwen35-9b-dppo-4n64k,460,65536,0.2517,0.3933,0.2793,0.151,https://beaker.org/ex/01KY9PYMHEFZWPCAJWA06AYTNX,,,,,,0.6873,0.1416,32463,https://wandb.ai/ai2-llm/oe-general-agents/7kfqfqw9,https://beaker.org/ex/01KY8C2P2FN6GS7SQFXNQHSEJ0,ai2/oe-agents
swerl-qwen35-9b-dppo-4n64k,480,65536,0.2315,0.3596,0.2569,0.139,https://beaker.org/ex/01KYAKV2GC1FAKFTS3668B8X3Q,,,,,,0.6578,0.1365,35704,https://wandb.ai/ai2-llm/oe-general-agents/7kfqfqw9,https://beaker.org/ex/01KY8C2P2FN6GS7SQFXNQHSEJ0,ai2/oe-agents
swerl-qwen35-9b-dppo-4n64k,500,65536,0.2292,0.3596,0.2506,0.162,https://beaker.org/ex/01KYAQ5V7E6Z5G654TNV6EVMPH,0.5160,0.7500,0.5420,0.108,https://beaker.org/ex/01KYJQ16E3DNZYPNF8KQZ69Z43,0.6689,0.1489,27584,https://wandb.ai/ai2-llm/oe-general-agents/7kfqfqw9,https://beaker.org/ex/01KY8C2P2FN6GS7SQFXNQHSEJ0,ai2/oe-agents
